ID	PolyA-tail_size	5'_TSD_size	Predicted_transD_size	Insertion_L1_size	5'_inverted_seq_size	TYPE
6	19	10	1	1306	816	inverted
20	29	10	2	2962	868	inverted
41	34	12	13	2999	1240	inverted
51	22	12	27	666	0	transduct
57	13	10	2	1005	270	inverted
73	16	9	6	935	425	inverted
84	33	9	186	385	0	transduct
89	30	10	0	87	0	trunc
90	18	6	17	607	0	trunc
92	20	13	34	358	0	transduct
97	26	6	40	110	0	transduct
98	33	14	11	188	0	trunc
100	17	6	44	427	0	transduct
103	31	8	2	1563	0	trunc
104	15	7	932	6028	0	full-len
115	16	11	1	3389	0	trunc
129	20	13	1	6042	0	full-len
130	31	11	0	6049	0	full-len
135	16	6	33	6042	0	full-len
136	31	12	20	2966	0	transduct
137	33	17	3	6042	0	full-len
143	34	13	52	1088	0	transduct
152	22	12	2	1504	0	trunc
169	32	7	2	1854	0	trunc
170	29	9	26	727	0	transduct
177	11	8	684	867	0	transduct
180	25	7	0	446	0	trunc
186	29	9	2	389	0	trunc
193	33	8	44	234	0	transduct
196	14	6	15	566	0	trunc
197	29	13	1	59	0	trunc
198	33	11	3	937	0	trunc
